id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
1,,Pre-Application_EPL_6,NA,EPL,,,"Precious Stones, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"PS, SPS",Pre-Application,216608,10,"Namibia,Karas,Karasburg; V",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-,,,,Exploration,,,,Desiree Roseline  Davids (100.000000%),,16357.6,Exclusive Prospecting Licence,
2,,Pre-Application_EPL_27,NA,EPL,,,"Base and Rare Metals, Industrial Minerals",Pre2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM",Pre-Application,217004,10,"Namibia,Karas,Karasburg; V",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,,,,,Exploration,,"Base and Rare Metals, Industrial Minerals",,NamNing Industry Import and Export CC (100.000000%),,44810.0,Exclusive Prospecting Licence,
3,,Pre-Application_EPL_29,NA,EPL,,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, PM, SPS",Pre-Application,217009,10,"Namibia,J, Otjozondjupa,Okahandja",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,,,,No payment received,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Semi-Precious Stones",,Blue Connections Consulting & Mining Services cc (100.000000%),,19069.3,Exclusive Prospecting Licence,
4,,Pre-Application_EPL_33,NA,EPL,,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, PM",Pre-Application,217010,10,"Namibia,J, K, Khomas,Windhoek; Otjozondjupa,Okahandja",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,EPL-,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals",,Tuyambeka Investments CC (100.000000%),,38222.2266,Exclusive Prospecting Licence,
5,,Pre-Application_EPL_41,NA,EPL,,,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, PM",Pre-Application,217011,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,EPL-,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Springbok Investments (PTY) Ltd (100.000000%),,27.048,Exclusive Prospecting Licence,
6,,Pre-Application_EPL_41,NA,EPL,,,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, PM",Pre-Application,217012,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,EPL-,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Springbok Investments (PTY) Ltd (100.000000%),,27.048,Exclusive Prospecting Licence,
7,,Pre-Application_EPL_45,NA,EPL,,,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, PM",Pre-Application,217013,10,"Namibia,Hardap,Maltahohe, Mariental, Rehoboth; M, P, R",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Salote Anguku (100.000000%),,20716.408,Exclusive Prospecting Licence,
8,,Pre-Application_EPL_74,NA,EPL,,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM, Nnf",Pre-Application,217014,10,"Namibia,D, J, Otjozondjupa,Okahandja, Otjiwarongo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,EPL-,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Non-Nuclear Fuel Minerals",,Mobiliare Investments (Pty) ltd (100.000000%),,99824.5916,Exclusive Prospecting Licence,
9,,Pre-Application_EPL_85,NA,EPL,,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, PM, PS",Pre-Application,217015,10,"Namibia,Karas,Karasburg; V",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,EPL-,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Precious Stones",,David Kafula Kafula (100.000000%),,19790.1537,Exclusive Prospecting Licence,
10,,Pre-Application_EPL_90,NA,EPL,,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones, Semi-Precious Stones",Part 2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, Nnf, PM, PS, SPS",Pre-Application,217016,10,"Namibia,A, Kunene,Opuwo; Omusati,Uutapi",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,True,,,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Non-Nuclear Fuel Minerals, Precious Metals, Precious Stones, Semi-Precious Stones",,,,81165.8459,Exclusive Prospecting Licence,
11,,3962,NA,EPL,,3962,Dimension Stone,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,DS,Application,217495,10,"Namibia,C, Erongo,Omaruru",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-3962,,,"Pending the  submission of compliance with regard to section 69(2) (g) (i), letter sent in 2010",Exploration,,Dimension Stone,,Stone Africa (Pty) Ltd (100.00%),,69848.7093,Exclusive Prospecting Licence,2008-01-08
12,,3962,NA,EPL,,3962,Dimension Stone,Part 2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,DS,Application,217496,10,"Namibia,C, Erongo,Omaruru",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-3962,,,"Pending the  submission of compliance with regard to section 69(2) (g) (i), letter sent in 2010",Exploration,,Dimension Stone,,Stone Africa (Pty) Ltd (100.00%),,69848.7093,Exclusive Prospecting Licence,2008-01-08
13,,3965,NA,EPL,,3965,Dimension Stone,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,DS,Application,217498,10,"Namibia,Erongo,Karibib, Swakopmund; G",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-3965,,,,Exploration,,Dimension Stone,,Johannes Joseph Wiese (100.00%),,5164.8264,Exclusive Prospecting Licence,2008-01-14
14,,3969,NA,EPL,,3969,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, PM",Application,217499,10,"Namibia,Karas,Karasburg; V",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-3969,,,Notice issued 28/07/2010. never returned,Exploration,,"Base and Rare Metals, Precious Metals",,Duiker Investments One Hundred & Fifty One (Pty) (100.00%),,19940.4481,Exclusive Prospecting Licence,2008-01-28
15,,4144,NA,EPL,,4144,"Base and Rare Metals, Industrial Minerals, Precious Metals, Precious Stones, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, IM, PM, PS, SPS",Application,217536,10,"Namibia,D, Otjozondjupa,Otjiwarongo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4144,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals, Precious Stones, Semi-Precious Stones",,Afriore Exploration (Namibia) (Pty) Ltd (100.00%),,24022.0,Exclusive Prospecting Licence,2008-07-23
16,,4161,NA,EPL,,4161,Precious Stones,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,PS,Application,217543,10,"Namibia,B, Kavango,Rundu",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4161,,,"Notice issued 27/07/2010, never returned",Exploration,,Precious Stones,,Minnex Exploration Namibia (Pty) Ltd (100.00%),,76244.6861,Exclusive Prospecting Licence,2008-08-19
17,,4162,NA,EPL,,4162,Precious Stones,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,PS,Application,217544,10,"Namibia,B, Kavango,Rundu",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4162,,,"Notice issued 27/07/2010, never returned",Exploration,,Precious Stones,,Minnex Exploration Namibia (Pty) Ltd (100.00%),,75102.4023,Exclusive Prospecting Licence,2008-08-19
18,,4181,NA,EPL,,4181,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, PM",Application,217549,10,"Namibia,A, Kunene,Khorixas, Outjo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4181,,,Notice issued 30/07/2012  and picked up by client but never returned.,Exploration,,"Base and Rare Metals, Precious Metals",,Nam Euro Investment Holdings (Pty) Ltd (100.00%),,99624.9104,Exclusive Prospecting Licence,2008-09-25
19,,4270,NA,EPL,,4270,"Base and Rare Metals, Dimension Stone, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, DS, SPS",Application,217570,10,"Namibia,Erongo,Karibib; H, K, Khomas,Windhoek",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4270,,,"Notice issued 13/01/2010, never returned",Exploration,,"Base and Rare Metals, Dimension Stone, Semi-Precious Stones",,Bilati Resources and Energy CC (100.00%),,80883.4733,Exclusive Prospecting Licence,2009-04-23
20,,4271,NA,EPL,,4271,Semi-Precious Stones,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,SPS,Application,217571,10,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4271,,,"Notice issued, posted and bounced back.",Exploration,,Semi-Precious Stones,,Twakumwa Mining Exploration (Pty) Ltd (100.00%),,93872.0223,Exclusive Prospecting Licence,2009-04-23
21,,4283,NA,EPL,,4283,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, PM",Application,217576,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4283,,,Discussed and recommended for granting during the meeting of 07 June 2014. the granting process was never completed,Exploration,,"Base and Rare Metals, Precious Metals",,Himba Iron Exploration (Pty) Ltd (100.00%),,16959.9932,Exclusive Prospecting Licence,2009-06-02
22,,4284,NA,EPL,,4284,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, PM",Application,217577,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4284,,,Discussed and recommended for granting during the meeting of 07 June 2014. the granting process was never completed,Exploration,,"Base and Rare Metals, Precious Metals",,Himba Iron Exploration (Pty) Ltd (100.00%),,35572.4343,Exclusive Prospecting Licence,2009-06-02
23,,4285,NA,EPL,,4285,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,0,,,,"BRM, PM",Application,217578,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-4285,,,Discussed and recommended for granting during the meeting of 07 June 2014. the granting process was never completed,Exploration,,"Base and Rare Metals, Precious Metals",,Himba Iron Exploration (Pty) Ltd (100.00%),,15967.5049,Exclusive Prospecting Licence,2009-06-02
24,2009-12-02,4304,NA,EPL,,4304,"Base and Rare Metals, Industrial Minerals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,1,,,,"BRM, IM, PM","Application Rejected, Pending Appeal",217586,10,"Namibia,A, Kunene,Khorixas",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),2012-12-02,Namibia,False,,EPL-4304,,,,Exploration,,"Base and Rare Metals, Industrial Minerals, Precious Metals",,Namibia East China Non-ferrous Investments (Pty) (100.00%),2014-12-01,33043.7193,Exclusive Prospecting Licence,2009-06-29
