id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
1,,131,NA,ML,,131,Semi-Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,SPS,Cancelled,215753,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,ML-131,,,,Mining,,Semi-Precious Stones,,Topstones Industrial & Mining Co. (Pty) Ltd (100.000000%),,,Mining Licence,2003-05-27
2,,5154,NA,EPL,,5154,"Base and Rare Metals, Non-Nuclear Fuel Minerals, Semi-Precious Stones",Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,"BRM, Nnf, SPS",Rejected,215754,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-5154,,,,Exploration,,"Base and Rare Metals, Non-Nuclear Fuel Minerals, Semi-Precious Stones",,Kalapuse General Dealers CC (100.000000%),,,Exclusive Prospecting Licence,2012-10-16
3,,67273,NA,MC,,67273,Semi-Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,SPS,Rejected,215755,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,67273,,,,Claims,,Semi-Precious Stones,,,,,Mining Claim,
4,2005-01-25,67289,NA,MC,,67289,Dimension Stone,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,DS,Rejected,215756,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,67289,,,,Claims,,Dimension Stone,,,,,Mining Claim,
5,,4566,NA,EPL,,4566,Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,PS,Rejected,215757,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4566,,,,Exploration,,Precious Stones,,Master Mining (Pty) Ltd (100.000000%),,,Exclusive Prospecting Licence,2010-07-15
6,,4571,NA,EPL,,4571,Dimension Stone,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,DS,Rejected,215758,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4571,,,,Exploration,,Dimension Stone,,Marvest Marble (Pty) Ltd (100.000000%),,,Exclusive Prospecting Licence,2010-08-10
7,2010-06-11,68500,NA,MC,,68500,Semi-Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,SPS,Rejected,215759,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,68500,,,,Claims,,Semi-Precious Stones,,,,,Mining Claim,
8,,66090,NA,MC,,66090,Semi-Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,SPS,Rejected,215760,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,66090,,,,Claims,,Semi-Precious Stones,,Jean Johannes Meyer (100.000000%),,,Mining Claim,
9,,66091,NA,MC,,66091,Semi-Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,SPS,Rejected,215761,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,66091,,,,Claims,,Semi-Precious Stones,,,,,Mining Claim,
10,,4131,NA,EPL,,4131,Precious Stones,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,PS,Rejected,215762,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4131,,,,Exploration,,Precious Stones,,,,,Exclusive Prospecting Licence,2008-07-07
11,,4597,NA,EPL,,4597,"Base and Rare Metals, Dimension Stone, Semi-Precious Stones",Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,"BRM, DS, SPS",Rejected,215763,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4597,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Semi-Precious Stones",,Free-Lance Investments CC (100.000000%),,,Exclusive Prospecting Licence,2010-09-14
12,,4599,NA,EPL,,4599,Non-Nuclear Fuel Minerals,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,Nnf,Abandoned,215764,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4599,,,,Exploration,,Non-Nuclear Fuel Minerals,,Cullen Resources  Namibia (Pty) Ltd (100.000000%),,,Exclusive Prospecting Licence,2010-09-14
13,,4600,NA,EPL,,4600,Non-Nuclear Fuel Minerals,Part 1,0,Inactive,,Namibia Mining Cadastre Portal,0,,0,,,,Nnf,Abandoned,215765,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-4600,,,,Exploration,,Non-Nuclear Fuel Minerals,,Cullen Resources  Namibia (Pty) Ltd (100.000000%),,,Exclusive Prospecting Licence,2010-09-14
